MODEL,MNAME,EXFUNC,PCODE,BLID,MCODE
VGN-NR220E,VGN-NR220E/S,FNC-CCIA0JFBEXTB,28272037,0000018989,065400000000000000007F1A
VGN-NR240E,VGN-NR240E/S,FNC-CCIA0JFBEXTB,28272036,0000018989,065400000000000000007F1A
VGN-NR240E,VGN-NR240E/T,FNC-CCIA0JFBEXTB,28278038,0000018989,065400000000000000007F1A
VGN-NR240E,VGN-NR240E/W,FNC-CCIA0JFBEXTB,28278037,0000018989,065400000000000000007F1A
VGN-NR260E,VGN-NR260E/S,FNC-CCIA0JFBEXTB,28272035,0000018989,065400000000000000007F1A
VGN-NR260E,VGN-NR260E/T,FNC-CCIA0JFBEXTB,28278036,0000018989,065400000000000000007F1A
VGN-NR260E,VGN-NR260E/W,FNC-CCIA0JFBEXTB,28278035,0000018989,065400000000000000007F1A
VGN-NR270N,VGN-NR270N/S,FNC-CCIA0JFBEXTB,28272034,0000019133,065400000000000000005F5A
VGN-NR280E,VGN-NR280E/S,FNC-CCIA0JFBEXTB,28272033,0000018989,065400000000000000007F1A
VGN-NR280E,VGN-NR280E/T,FNC-CCIA0JFBEXTB,28278034,0000018989,065400000000000000007F1A
VGN-NR280E,VGN-NR280E/W,FNC-CCIA0JFBEXTB,28278033,0000018989,065400000000000000007F1A
VGN-NR285E,VGN-NR285E/S,FNC-CCIA0JFBEXTB,28272032,0000018989,065400000000000000007F1A
VGN-NR285E,VGN-NR285E/T,FNC-CCIA0JFBEXTB,28278136,0000018989,065400000000000000007F1A
VGN-NR290E,VGN-NR290E/S,FNC-CCIA0JFBEXTB,28272031,0000018989,065400000000000000007F1A
VGN-NR290E,VGN-NR290E/T,FNC-CCIA0JFBEXTB,28278032,0000018989,065400000000000000007F1A
VGN-NR295N,VGN-NR295N/S,FNC-CCIA0JFBEXTB,28272136,0000019133,065400000000000000005F5A
VGN-NR298E,VGN-NR298E/S,FNC-CCIA0JFBEXTB,28272030,0000018989,065400000000000000007F1A
VGN-NR298E,VGN-NR298E/T,FNC-CCIA0JFBEXTB,28278031,0000018989,065400000000000000007F1A
VGN-NR298E,VGN-NR298E/W,FNC-CCIA0JFBEXTB,28278030,0000018989,065400000000000000007F1A
